iter	Passed	Remaining
0	135	135529
1	136	68147
2	137	45714
3	138	34494
4	139	27760
5	140	23315
6	141	20078
7	142	17651
8	143	15755
9	143	14238
10	144	12995
11	145	11960
12	145	11082
13	146	10328
14	147	9676
15	148	9104
16	148	8596
17	149	8158
18	150	7769
19	151	7409
20	152	7086
21	152	6794
22	153	6524
23	154	6275
24	154	6044
25	155	5840
26	156	5653
27	157	5475
28	158	5303
29	159	5143
30	159	4994
31	160	4853
32	161	4722
33	162	4606
34	162	4493
35	163	4382
36	164	4279
37	165	4180
38	165	4086
39	166	3996
40	167	3913
41	168	3838
42	169	3764
43	169	3690
44	170	3620
45	171	3552
46	172	3489
47	172	3429
48	173	3375
49	174	3319
50	175	3264
51	176	3211
52	176	3159
53	177	3110
54	178	3062
55	178	3016
56	179	2972
57	180	2932
58	181	2891
59	181	2850
60	182	2810
61	183	2773
62	183	2736
63	184	2701
64	185	2668
65	186	2637
66	187	2605
67	187	2574
68	188	2543
69	189	2514
70	189	2485
71	190	2456
72	191	2428
73	192	2404
74	192	2379
75	193	2354
76	194	2328
77	194	2304
78	195	2280
79	196	2257
80	196	2234
81	197	2213
82	198	2190
83	199	2173
84	199	2152
85	200	2134
86	201	2116
87	202	2098
88	203	2080
89	204	2064
90	205	2048
91	205	2032
92	206	2016
93	207	1999
94	208	1983
95	208	1967
96	209	1951
97	210	1936
98	211	1923
99	212	1908
100	212	1894
101	213	1880
102	214	1866
103	214	1852
104	215	1838
105	216	1824
106	217	1814
107	218	1802
108	219	1791
109	219	1778
110	220	1766
111	221	1753
112	221	1741
113	222	1729
114	223	1719
115	224	1710
116	225	1699
117	225	1689
118	226	1678
119	227	1668
120	228	1657
121	228	1646
122	229	1637
123	230	1627
124	231	1618
125	231	1608
126	232	1597
127	233	1587
128	233	1578
129	234	1568
130	235	1559
131	235	1551
132	236	1544
133	237	1536
134	238	1528
135	239	1519
136	239	1511
137	240	1503
138	241	1494
139	242	1487
140	242	1480
141	243	1472
142	244	1464
143	245	1456
144	245	1449
145	246	1441
146	247	1434
147	247	1426
148	248	1420
149	249	1413
150	250	1406
151	250	1399
152	251	1392
153	252	1384
154	252	1378
155	253	1371
156	254	1364
157	254	1358
158	255	1353
159	256	1347
160	257	1339
161	257	1333
162	258	1327
163	259	1321
164	259	1315
165	260	1309
166	261	1304
167	262	1299
168	263	1294
169	264	1289
170	264	1283
171	265	1278
172	266	1272
173	266	1266
174	267	1262
175	268	1257
176	269	1252
177	270	1247
178	270	1241
179	271	1236
180	272	1232
181	273	1227
182	273	1222
183	274	1218
184	275	1213
185	276	1208
186	276	1203
187	277	1198
188	278	1193
189	278	1188
190	279	1183
191	280	1180
192	281	1176
193	281	1171
194	282	1166
195	283	1162
196	283	1157
197	284	1152
198	285	1148
199	286	1144
200	286	1140
201	287	1136
202	288	1132
203	289	1128
204	289	1124
205	290	1120
206	291	1115
207	291	1111
208	292	1108
209	293	1104
210	294	1100
211	294	1096
212	295	1092
213	296	1088
214	296	1084
215	297	1080
216	298	1076
217	299	1072
218	299	1069
219	300	1065
220	301	1062
221	301	1058
222	302	1054
223	303	1051
224	304	1047
225	304	1043
226	305	1040
227	306	1036
228	306	1033
229	307	1029
230	308	1026
231	309	1022
232	309	1019
233	310	1015
234	311	1012
235	311	1009
236	312	1006
237	313	1002
238	313	999
239	314	996
240	315	993
241	316	989
242	316	986
243	317	983
244	318	980
245	319	977
246	319	974
247	320	971
248	321	968
249	321	965
250	322	962
251	323	959
252	323	956
253	324	953
254	325	951
255	326	948
256	327	945
257	327	942
258	328	939
259	329	936
260	329	933
261	330	931
262	331	928
263	332	926
264	333	923
265	333	920
266	334	917
267	335	915
268	335	912
269	336	909
270	337	907
271	338	905
272	338	902
273	339	899
274	340	897
275	341	894
276	341	892
277	342	889
278	343	886
279	344	884
280	344	882
281	345	879
282	346	877
283	347	874
284	347	872
285	348	869
286	349	867
287	350	865
288	350	863
289	351	861
290	352	858
291	353	856
292	353	854
293	354	851
294	355	849
295	356	846
296	356	844
297	357	842
298	358	840
299	359	838
300	359	835
301	360	833
302	361	831
303	361	828
304	362	826
305	363	824
306	364	822
307	365	820
308	365	817
309	366	815
310	367	813
311	367	810
312	368	808
313	369	806
314	369	804
315	370	802
316	371	800
317	372	798
318	372	796
319	373	794
320	374	792
321	375	790
322	376	788
323	376	786
324	377	784
325	378	782
326	379	780
327	379	778
328	380	776
329	381	774
330	382	772
331	382	770
332	383	768
333	384	766
334	385	764
335	385	762
336	386	760
337	387	758
338	387	756
339	388	754
340	389	752
341	390	750
342	390	748
343	391	746
344	392	744
345	392	742
346	393	740
347	394	738
348	395	736
349	395	735
350	396	733
351	397	731
352	397	729
353	398	727
354	399	725
355	399	723
356	400	722
357	401	720
358	402	718
359	403	716
360	403	714
361	404	712
362	405	710
363	405	709
364	406	707
365	407	705
366	408	704
367	408	702
